nid,id,hd,cr,wc,pd,et,sn,sc,ed,pg,la,cy,lp,td,ct,rf,co,ina,ns,re,ipc,ipd,pub,an
179,Factiva-20210602-1531,"Covid-shot bonus for Md. state workers
   BY
Rebecca Tan                Lola Fadulu",,"1,277 words",4 May 2021,,The Washington Post,WP,FINAL,B01,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","Maryland is offering $100 to state employees who are fully vaccinated against the coronavirus, an effort to incentivize vaccinations as supply begins to outpace demand in some areas.

To receive the payment, workers must provide proof of their vaccination to their human resource departments and agree to receive booster shots recommended by the Centers for Disease Control and Prevention over the next 18 months.",,,,,i2572 : Vaccines | i257 : Pharmaceuticals | i951 : Health Care/Life Sciences | idrugty : Specialized Drugs/Medications,cwrkpa : Workers Pay | gimmu : Immunizations | gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | reqrhc : Suggested Reading   Health Care | reqrph : Suggested Reading   Pharmaceuticals | c42 : Labor/Personnel | ccat : Corporate/Industrial News | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types | nfact : Factiva Filters | nfcpin : C&E Industry News Filter | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,usa : United States | usmd : Maryland | namz : North America | uss : Southern U.S.,,Local,Washington Post,Document WP00000020210504eh5400016
180,Factiva-20210602-1531,"How Road Racing Is Trying to Return to Some Form of Normal
   BY
By Talya Minsberg",,872 words,3 May 2021,,The New York Times,NYTF,Late Edition - Final,2,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"Runners -- especially distance runners -- know to expect the unexpected. Sure, the forecast on race day could call for an unusual heat wave. Yes, you could find yourself dropping your last remaining energy gel in the final miles of a marathon. And who hasn't found themselves in desperate need of a restroom at an inopportune time?

Race directors are banking on runners' adaptability as they approach the first racing season since the beginning of the pandemic. While this week brought new, relaxed guidance on mask wearing while exercising (to the relief of many runners), races still will not look the way they did in 2019. But they sure will feel a lot more like normal, that is, if you're willing to roll it.",,,,,,gspo : Sports | gmara : Marathon | gathl : Athletics | ncat : Content Types | nfact : Factiva Filters | nfce : C&E Exclusion Filter | nrgn : Routine General News,usa : United States | namz : North America,,Sports Desk,The New York Times Company,Document NYTF000020210503eh5300045
181,Factiva-20210602-1531,"U.S. News: Resilient Strain Can Be Curbed --- Vaccines in U.S. work well against the U.K. variant even though it is highly contagious
   BY
By Brianna Abbott",,797 words,3 May 2021,,The Wall Street Journal,J,,A6,English,"Copyright 2021 Dow Jones & Company, Inc. All Rights Reserved.","The highly contagious U.K. variant of the Covid-19 virus, now the dominant virus strain in the U.S., is making the pandemic harder to control. But it comes with a silver lining: The authorized vaccines work well against it.

The variant, called B.1.1.7, is better able to exploit lapses in mask wearing and social distancing, and requires more people to develop an immune response to slow it down. Yet vaccines from Pfizer Inc. and its partner BioNTech SE, Moderna Inc., and Johnson & Johnson, along with safety precautions, still remain effective, and health authorities say the shots are starting to slow down Covid-19 cases in the U.S.",,,,frdhtc : Fred Hutchinson Cancer Research Center | hwmlcb : BioNTech SE | mdrthu : Moderna Inc | pfiz : Pfizer Inc,i2569 : Biotechnology | i257 : Pharmaceuticals | i372 : Medical Equipment/Supplies | iphmm : Medical/Surgical Materials | iproclth : Safety/Protective Clothing | i2572 : Vaccines | i951 : Health Care/Life Sciences | i453 : Clothing | iclt : Clothing/Textiles | icnp : Consumer Goods | idrugty : Specialized Drugs/Medications | ibioph : Biopharmaceuticals,gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | gimmu : Immunizations | neqac : Equities Asset Class News | nmajev : Major News Events | ntop : Top Wire News | c23 : Research/Development | reqrhc : Suggested Reading   Health Care | reqrph : Suggested Reading   Pharmaceuticals | ccat : Corporate/Industrial News | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types | ndj : Dow Jones Top Stories | nfact : Factiva Filters | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,usa : United States | namz : North America,ABO | AEQI | EWR | SGN | HHS | USG | HCR | NND | USN,,"Dow Jones & Company, Inc.",Document J000000020210503eh530000z
182,Factiva-20210602-1531,"Getting to 150
   BY
By Nicholas St. Fleur and Chloe Williamsand Charlie Wood",,"1,459 words",2 May 2021,,The New York Times,NYTF,Late Edition - Final,49,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"A short look at what's in the longevity pipeline.

0-5 YEARS",,,,,,gcat : Political/General News,usa : United States | namz : North America,,Magazine Desk,The New York Times Company,Document NYTF000020210502eh5200050
183,Factiva-20210602-1531,"TSA extends mask mandate for public transportation in U.S. to September
   BY
Lori Aratani                Michael Laris",,708 words,2 May 2021,,The Washington Post,WP,FINAL,A05,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","The Transportation Security Administration announced Friday that it has extended through Sept. 13 its orders requiring people to wear masks in transportation settings, including at airports, on commercial aircraft, and on buses and trains.

TSA officials said the extension of the mask requirement is consistent with updated policies from the Centers for Disease Control and Prevention. The TSA requirement had been set to expire May 11.",,,,ustsa : Transportation Security Administration | uscdcp : Centers for Disease Control and Prevention,,gvdhs : Department of Homeland/National Security | gtrans : Transport | gcat : Political/General News | gpir : Politics/International Relations | gpol : Domestic Politics | gvbod : Government Bodies | gvexe : Executive Branch,usa : United States | namz : North America,,Local,Washington Post,Document WP00000020210502eh520001g
184,Factiva-20210602-1531,"U.S. Will Limit Travel as Virus Ravages India
   BY
By Noah Weiland and Jim Tankersley",,"1,607 words",1 May 2021,,The New York Times,NYTF,Late Edition - Final,1,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"As they discussed the decision this week, top health officials warned the White House about uncertainty over how vaccines might respond to a homegrown virus variant in India.

WASHINGTON -- The White House, citing guidance from the Centers for Disease Control and Prevention, announced Friday that it would begin restricting travel from India to the United States next week, a major new test of the Biden administration's pandemic response.",,,,,i257 : Pharmaceuticals | i951 : Health Care/Life Sciences,gglobe : Global/World Issues | gimmu : Immunizations | gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | npag : Page One Stories | gtour : Travel | reqrhc : Suggested Reading   Health Care | reqrph : Suggested Reading   Pharmaceuticals | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | glife : Living/Lifestyle | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,india : India | usa : United States | usdc : Washington DC | asiaz : Asia | bric : BRICS Countries | devgcoz : Emerging Market Countries | dvpcoz : Developing Economies | indsubz : Indian Subcontinent | namz : North America | sasiaz : Southern Asia | uss : Southern U.S.,,Foreign Desk,The New York Times Company,Document NYTF000020210501eh510004a
185,Factiva-20210602-1531,"Biden to the nation: 'America is rising anew""
   BY
By JONATHAN LEMIRE and JOSH BOAK, Associated Press",,"1,487 words",29 April 2021,,St. Louis Post-Dispatch,SLMO,Final,A1,English,"Copyright 2021, St. Louis Post-Dispatch.  All Rights Reserved.","WASHINGTON —resident Joe Biden declared Wednesday night in his first address to a joint session of Congress that “merica is rising anew,”nd pointed optimistically to the nation’ emergence from the pandemic as a vital moment to rebuild the U.S. economy and fundamentally transform government roles in American life.

Biden marked his first 100 days in office as the nation pushes out of a menacing mix of crises, making his case before a pared-down gathering of mask-wearing legislators because of pandemic restrictions.",,,,,,gcat : Political/General News | ecat : Economic News | gglobe : Global/World Issues | gout : Outbreaks/Epidemics | gpol : Domestic Politics | gsars : Novel Coronaviruses | gvcng : Legislative Branch | npag : Page One Stories | e11 : Economic Performance/Indicators | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gpir : Politics/International Relations | gspox : Infectious Diseases | gvbod : Government Bodies | ncat : Content Types,usa : United States | namz : North America,,vaccinations and immunizations | novel coronavirus pandemic | #ap | #wire | government and politics | child care costs | family finances | personal finance | business | higher education | education | social affairs | legislature | covid-19 pandemic | coronavirus | infectious diseases | diseases and conditions | health | lung disease | emergency management | personal investing | President Joe Biden administration | U.S. Congress speech | milestone,St. Louis Post-Dispatch,Document SLMO000020210429eh4t001gu
186,Factiva-20210602-1531,"Building trust in shot, one knock at a time
   BY
Nada Hassanein",,"1,484 words",29 April 2021,,USA Today,USAT,,"A.1
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"NEW ORLEANS –hakeitha Young was home on a rainy Saturday morning, cleaning up bits of toast strewn by her 1-year-old, Jalayah, when the knock came.

A nurse in teal scrubs, rain boots and a yellow poncho was on her porch, offering Young an on-the-spot COVID-19 vaccine. Young eagerly agreed, swinging open the door with Jalayah propped on her hip in a unicorn shirt and diaper. Despite her job as a hospital technician, sanitizing medical equipment like IV pumps, the 32-year-old single mom of three said she hadn't yet been offered a shot.",,,,,,gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | ghea : Health | gimmu : Immunizations | gwelf : Welfare/Social Services | npag : Page One Stories | gcat : Political/General News | gcold : Respiratory Tract Diseases | gcom : Society/Community | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types,norle : New Orleans | namz : North America | usa : United States | usla : Louisiana | uss : Southern U.S.,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210429eh4t00017
187,Factiva-20210602-1531,"Vaccine-Optional Braves To Play at Full Capacity
   BY
By James Wagner",,"1,095 words",29 April 2021,,The New York Times,NYTF,Late Edition - Final,9,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"More than 40,000 fans will be permitted at the team's games. The Yankees shut out Baltimore and Bryce Harper took a pitch to the face.

The Atlanta Braves announced on Wednesday that they would allow 100 percent capacity crowds beginning May 7. The listed capacity of their home stadium, Truist Park, in suburban Atlanta is 41,084.",,,,atlbrv : Atlanta Braves (team) | blmoro : Baltimore Orioles (team) | nyykee : New York Yankees (team),,gbase : Baseball | gspo : Sports | gimmu : Immunizations | ncolu : Columns | nnam : News Agency Materials | gcat : Political/General News | ghea : Health | gtrea : Medical Treatments/Procedures | ncat : Content Types | nfact : Factiva Filters | nfce : C&E Exclusion Filter | niwe : IWE Filter | nrgn : Routine General News,usga : Georgia (US) | usa : United States | atlnt : Atlanta | usmd : Maryland | namz : North America | uss : Southern U.S.,,Sports Desk,The New York Times Company,Document NYTF000020210429eh4t0004c
188,Factiva-20210602-1531,"Biden, in speech to Congress, offers sweeping agenda and touts democracy
   BY
Matt Viser                Tyler Pager",,"1,734 words",29 April 2021,,The Washington Post,WP,FINAL,A01,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","President Biden on Wednesday night used his first speech to a joint session of Congress to argue for a dramatic expansion of government services, making a plea for sweeping plans to provide universal preschool, free community college and expanded health care and new tax breaks for families - much of it funded for by higher taxes on the wealthiest Americans.

While he also renewed calls for an array of priorities - including immigration changes, gun control and police reform - Biden more broadly portrayed a country that is rapidly emerging from the depths of a global pandemic and has survived events that, in his view, tested American democracy as rarely before.",,,,uscong : United States Congress,,gcat : Political/General News | e211 : Government Budget/Taxation | gimm : Human Migration | gpol : Domestic Politics | gvcng : Legislative Branch | npag : Page One Stories | e21 : Government Finance | ecat : Economic News | gpir : Politics/International Relations | gvbod : Government Bodies | ncat : Content Types,usa : United States | namz : North America,,National-Politics,Washington Post,Document WP00000020210429eh4t00036
189,Factiva-20210602-1531,"Biden, in speech to Congress, touts sweeping plans and says ""America is on the move""
   BY
Matt Viser                Tyler Pager",,"1,261 words",29 April 2021,,The Washington Post,WP,FINAL,A01,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","President Biden on Wednesday night delivered his first speech to a joint session of Congress, aimed at making an impassioned plea for his sweeping plan to provide universal preschool, free community college and other benefits, while raising taxes on the wealthiest Americans.

While also intended to renew calls for an array of priorities - including immigration changes, gun control and police reform - Biden's speech framed an uplifting message that sought to portray a country emerging from the depths of a global pandemic and still grappling with events that, in his view, tested American democracy as rarely before.",,,,,,gcat : Political/General News | e211 : Government Budget/Taxation | gpol : Domestic Politics | gvcng : Legislative Branch | npag : Page One Stories | e21 : Government Finance | ecat : Economic News | gpir : Politics/International Relations | gvbod : Government Bodies | ncat : Content Types,usa : United States | namz : North America,,National-Politics,Washington Post,Document WP00000020210429eh4t0001e
190,Factiva-20210602-1531,"Wait for worker-safety rule frustrates advocates
   BY
Eli Rosenberg",,772 words,29 April 2021,,The Washington Post,WP,FINAL,A22,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","The Biden administration is more than six weeks late on a self-imposed deadline to set a workplace safety standard for the coronavirus, angering labor advocates who had hoped the White House would move quickly to fill a void left by the Trump administration.

President Biden issued an executive order on his second day in office that directed the Labor Department to issue an emergency temporary standard, or ETS, by March 15, if it found one to be necessary.",,,,osha : Occupational Safety and Health Administration | usomab : United States Office of Management and Budget | usdlab : United States Department of Labor,,gcat : Political/General News | gvlbr : Labor Department | gvbod : Government Bodies | gsars : Novel Coronaviruses | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gpir : Politics/International Relations | gpol : Domestic Politics | gspox : Infectious Diseases | gvexe : Executive Branch,usa : United States | usdc : Washington DC | namz : North America | uss : Southern U.S.,,National-Economy,Washington Post,Document WP00000020210429eh4t00017
191,Factiva-20210602-1531,"Skip-gen travel may be hottest trend
   BY
Allison Tibaldi; FamilyVacationistcom",,"1,128 words",28 April 2021,,USA Today,USAT,,"D.4
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"Skip-gen travel, also called gramping, is a growing travel trend of grandparents and grandkids traveling together without the children's parents (so it skips the middle generation).

With pandemic fatigue hitting hard, a skip-gen vacation might be exactly the kind of multigenerational vacation that kids, parents and grandparents all need this year.",,,,,i6651 : Hotels/Motels | i66 : Lodgings/Restaurants/Bars | ilea : Leisure/Arts/Hospitality | i665 : Lodgings | itourm : Tourism,gtour : Travel | gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | reqlea : Suggested Reading   Leisure/Arts | reqrhr : Suggested Reading   Hotels/Restaurants/Casinos | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | glife : Living/Lifestyle | gmed : Medical Conditions | gspox : Infectious Diseases | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,usa : United States | namz : North America,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210428eh4s0000c
192,Factiva-20210602-1531,HIGHLIGHT: Florida,,"2,266 words",28 April 2021,,USA Today,USAT,,"D.5
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"Alabama Montgomery: The state health department on Tuesday recommended resuming Johnson & Johnson COVID-19 vaccines following weekend guidance from federal authorities about a rare side effect in a handful of female recipients.

Alaska Hyder: Gov. Mike Dunleavy has offered vaccines to residents of the small British Columbia town of Stewart in hopes it could lead Canada to ease restrictions between Stewart and Hyder, a tiny Alaska border community a couple of miles away.",,,,,i257 : Pharmaceuticals | i951 : Health Care/Life Sciences,gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | gimmu : Immunizations | greg : Regional Politics | gvbod : Government Bodies | gmed : Medical Conditions | gpol : Domestic Politics | reqrhc : Suggested Reading   Health Care | reqrph : Suggested Reading   Pharmaceuticals | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gpir : Politics/International Relations | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,usa : United States | uss : Southern U.S. | usw : Western U.S. | usak : Alaska | usal : Alabama | usfl : Florida | usga : Georgia (US) | usmn : Minnesota | usms : Mississippi | usnj : New Jersey | usoh : Ohio | usok : Oklahoma | namz : North America | usc : Midwest U.S. | use : Northeast U.S.,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210428eh4s0000e
193,Factiva-20210602-1531,"Seeking Common Ground On Extending Education
   BY
By David Leonhardt",,"1,576 words",28 April 2021,,The New York Times,NYTF,Late Edition - Final,16,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"By David Leonhardt

Good morning. President Biden goes before Congress tonight to lay out his agenda.",,,,,,gcat : Political/General News | gpol : Domestic Politics | gpres : Preschool | gvcng : Legislative Branch | gedu : Education | gpir : Politics/International Relations | gvbod : Government Bodies,usa : United States | namz : North America,,National Desk,The New York Times Company,Document NYTF000020210428eh4s0005j
194,Factiva-20210602-1531,"C.D.C. Relaxes Its Rules On Mask Use Outdoors For the Fully Inoculated
   BY
By Sheryl Gay Stolberg and Roni Caryn Rabin",,"1,723 words",28 April 2021,,The New York Times,NYTF,Late Edition - Final,1,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"''Go get the shot,'' President Biden declared Tuesday, hailing an easing of federal guidance on outdoor mask wearing as a step toward post-pandemic normalcy.

WASHINGTON -- The Centers for Disease Control and Prevention took a major step on Tuesday toward coaxing Americans into a post-pandemic world, relaxing the rules on mask wearing outdoors as coronavirus cases recede and people increasingly chafe against restrictions.",,,,uscdcp : Centers for Disease Control and Prevention,,gsars : Novel Coronaviruses | gvbod : Government Bodies | gout : Outbreaks/Epidemics | gcat : Political/General News | gimmu : Immunizations | npag : Page One Stories | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gpir : Politics/International Relations | gpol : Domestic Politics | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types,usa : United States | usdc : Washington DC | namz : North America | uss : Southern U.S.,,Foreign Desk,The New York Times Company,Document NYTF000020210428eh4s00041
195,Factiva-20210602-1531,"It took moving far away for me to appreciate my American home
   BY
Oanh Ngo Usadi",,897 words,28 April 2021,,The Washington Post,WP,FINAL,A23,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","""Xiiiiii, huuuu,"" says our group leader softly. The women standing around me are calm, their eyes closed, breaths in sync. Does ""xi"" mean inhale, or is it exhale? I'm far from feeling Zen inside a nature park in Singapore.

In the summer of 2019, my family and I moved temporarily from our small town in New Jersey to the city-state in Southeast Asia. Being in a new country invariably means homesickness, a familiar feeling from when I immigrated to the United States from Vietnam almost 40 years ago. Inside a Singaporean neighborhood park, I discovered a community and a newfound appreciation of my American home.",,,,,,nedi : Editorials | ncat : Content Types,usa : United States | singp : Singapore | apacz : Asia Pacific | asiaz : Asia | namz : North America | seasiaz : Southeast Asia,,Editorial-Opinion,Washington Post,Document WP00000020210428eh4s00032
196,Factiva-20210602-1531,"Mask-fearing Carlson needs to be muzzled
   BY
Margaret Sullivan",,901 words,28 April 2021,,The Washington Post,WP,FINAL,C01,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","I took a walk to Central Park on Monday, and on the way, I noticed a toddler being wheeled in a stroller, wearing what looked like a cotton, homemade mask. The mask was pink with white flowers, and fit the tiny face well.

The child was peacefully asleep, lulled by the motion and the spring breezes.",,,,,,gent : Arts/Entertainment | gcat : Political/General News,usa : United States | namz : North America,,Style,Washington Post,Document WP00000020210428eh4s0002k
197,Factiva-20210602-1531,"The best cleaning solutions may be the ones you make yourself
   BY
Olga Massov",,"1,324 words",28 April 2021,,The Washington Post,WP,FINAL,E12,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","For a recipe developer and food writer working from home, you could say this past year felt Sisyphean.

In the past 12 months, I've spent a lot of time in my kitchen developing and testing recipes, preparing food for our remote photo shoots, making multiple meals a day for my family, and spending an inordinate amount of time cleaning up after each of those tasks. It was a never-ending cycle of cook-clean-repeat.",,,,,,gfod : Food/Drink | grcps : Recipes | nrvw : Reviews | gtcom : Telecommuting | gbal : Work-Life Balance | gcat : Political/General News | gjob : General Labor Issues | glife : Living/Lifestyle | ncat : Content Types | nfact : Factiva Filters | nfce : C&E Exclusion Filter | nrgn : Routine General News,usa : United States | namz : North America,,Food,Washington Post,Document WP00000020210428eh4s0001j
198,Factiva-20210602-1531,"Washington does feel different. But unity is unlikely in the new normal.
   BY
Marc Fisher",,"2,141 words",28 April 2021,,The Washington Post,WP,FINAL,AA16,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","In 1974, when Gerald Ford moved into the White House after Richard Nixon left in disgrace, the new president announced that ""our long national nightmare is over."" Ford's honeymoon lasted barely a month - until he outraged much of the country by pardoning his predecessor.

In 1920, following a frighteningly lethal flu pandemic, a devastating war and a president widely perceived to have broken the bounds of his authority, Warren G. Harding promised a ""return to normalcy."" But what Harding saw as a reversion to the norm struck a young future president, Franklin D. Roosevelt, as a ""period of coma in our national life.""",,,,,,gcat : Political/General News | gvexe : Executive Branch | gpol : Domestic Politics | gvote : Elections | gpir : Politics/International Relations | gvbod : Government Bodies,usa : United States | usdc : Washington DC | namz : North America | uss : Southern U.S.,,ETC,Washington Post,Document WP00000020210428eh4s0002o
199,Factiva-20210602-1531,"Health & Wellness -- Ask Personal Journal: Face Masks At Work
   BY
By Lauren Weber",,628 words,27 April 2021,,The Wall Street Journal,J,,A11,English,"Copyright 2021 Dow Jones & Company, Inc. All Rights Reserved.","As more Americans are vaccinated and state mask mandates are dropped, can my employer forbid me from wearing a mask while at work?

The bottom line",,,,,,gcat : Political/General News | ghea : Health | gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | nmajev : Major News Events | ntop : Top Wire News | gcold : Respiratory Tract Diseases | gmed : Medical Conditions | gspox : Infectious Diseases | ndj : Dow Jones Top Stories | redit : Selection of Top Stories/Trends/Analysis,usa : United States | namz : North America,HHS | USG | NND | HWL | PSJ,,"Dow Jones & Company, Inc.",Document J000000020210427eh4r0000b
200,Factiva-20210602-1531,HIGHLIGHT: Illinois,,"2,238 words",27 April 2021,,USA Today,USAT,,"D.5
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"Alabama Tuscaloosa: Staggered schedules, leave, and other pandemic-related benefits and accommodations the University of Alabama created as temporary measures will expire in mid-May, according to an email sent to faculty and staff.

Alaska Juneau: Alaska Airlines has banned state Sen. Lora Reinbold, R-Eagle River, for refusing to follow mask requirements. Last year, she referred to airline staff as ""mask bullies"" after being asked to wear one on a flight, the Anchorage Daily News reports. She reportedly later sent flight attendants a cake inscribed: ""I'm sorry if I offended you.""",,,,unvtym : The University of Alabama,,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | c332 : Government Contracts/Orders | gcrim : Crime/Legal Action | ghea : Health | gmed : Medical Conditions | gpol : Domestic Politics | guni : University/College | c33 : Contracts/Orders | ccat : Corporate/Industrial News | gcat : Political/General News | gcold : Respiratory Tract Diseases | gedu : Education | gpir : Politics/International Relations | gspox : Infectious Diseases | ncat : Content Types | nfact : Factiva Filters | nfcpin : C&E Industry News Filter,usa : United States | usak : Alaska | usw : Western U.S. | usal : Alabama | ushi : Hawaii | usil : Illinois | usmd : Maryland | usms : Mississippi | usnd : North Dakota | namz : North America | usc : Midwest U.S. | uss : Southern U.S.,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210427eh4r0000z
201,Factiva-20210602-1527,,,,,,,,,,,,,,,,,,,,,,,
202,Factiva-20210602-1527,"Gather in Public (With Care)
   BY
By Robin Lloyd",,"1,634 words",30 May 2021,,The New York Times,NYTF,Late Edition - Final,15,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"Going to Disney World this summer? Or to your niece's sixth birthday party? Here's how to do it safely.

During spring break last month, Monica Gandhi tested her confidence in coronavirus science. She and her two unvaccinated children stood in a packed crowd near a well-known bridge in Austin, Texas, to enjoy watching the emergence at dusk of thousands of Brazilian free-tailed bats.",,,,,,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | glife : Living/Lifestyle | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases,usa : United States | namz : North America,,House & Home/Style Desk,The New York Times Company,Document NYTF000020210530eh5u0004c
203,Factiva-20210602-1527,"The unseen coronavirus risk for unvaccinated people
   BY
Dan Keating                Leslie Shapiro",,"1,136 words",30 May 2021,,The Washington Post,WP,FINAL,A15,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","The country's declining covid-19 case rates present an unrealistically optimistic perspective for half of the nation - the half that is still not vaccinated. As more people receive vaccine shots, covid-19 cases are occurring mostly in the increasingly narrow slice of the unprotected population. So The Washington Post adjusted its case, death and hospitalization rates to account for that - and found that in some places, the virus continues to rage among those who haven't received a shot. The rosy national figures showing declining case numbers led the Centers for Disease Control and Prevention to loosen mask recommendations and President Biden to advise people to take off their masks and smile. But adjustments for vaccinations show the rate among susceptible, unvaccinated people is 69 percent higher than the standard figures being publicized. With that adjustment, the national death rate is roughly the same as it was two months ago and is barely inching down.",,,,,,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | gimmu : Immunizations | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures,usa : United States | use : Northeast U.S. | uswa : Washington State | namz : North America | usw : Western U.S.,,Health-Environment-Science,Washington Post,Document WP00000020210530eh5u0001l
204,Factiva-20210602-1527,"Surge in Fliers to Test Airports and Carriers
   BY
By Doug Cameron",,836 words,29 May 2021,,The Wall Street Journal,J,,A1,English,"Copyright 2021 Dow Jones & Company, Inc. All Rights Reserved.","U.S. airline-passenger numbers are forecast to average as many as two million a day through the Memorial Day holiday, testing the ability of airlines and airports to handle infrequent and, in some cases, unruly, fliers.

While domestic air-travel numbers last Christmas were half those in 2019, recent Transportation Security Administration counts have them now hovering around 90% of pre-pandemic levels. The TSA screened 1.9 million passengers last Sunday, a 14-month high.",,,,amair : American Airlines Group Inc. | ustsa : Transportation Security Administration,i764 : Airports | i7501 : Passenger Airlines | i75 : Airlines | iairtr : Air Transport | itsp : Transportation/Logistics,gtour : Travel | gtrans : Transport | nmajev : Major News Events | npag : Page One Stories | ntop : Top Wire News | gcat : Political/General News | glife : Living/Lifestyle | ncat : Content Types | ndj : Dow Jones Top Stories | redit : Selection of Top Stories/Trends/Analysis,usa : United States | namz : North America,FAA | HLS | USG | NND | TRSH | PGO,,"Dow Jones & Company, Inc.",Document J000000020210529eh5t0002o
205,Factiva-20210602-1527,"U.S. News: Covid-19 Shot Can Be a Job Requirement --- Updated guidance from EEOC notes some exceptions; incentives are allowed
   BY
By Eric Morath and Sarah Chaney Cambon",,540 words,29 May 2021,,The Wall Street Journal,J,,A3,English,"Copyright 2021 Dow Jones & Company, Inc. All Rights Reserved.","U.S. employers could require all workers physically entering a workplace to be vaccinated against Covid-19, the federal government said Friday.

The Equal Employment Opportunity Commission issued updated guidance stating that federal laws don't prevent an employer from requiring workers to be vaccinated.",,,,equoc : United States Equal Employment Opportunity Commission,i257 : Pharmaceuticals | i951 : Healthcare/Life Sciences,gvbod : Government Bodies | gjob : General Labor Issues | gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | ghea : Health | gimmu : Immunizations | gpol : Domestic Politics | nmajev : Major News Events | ntop : Top Wire News | gcat : Political/General News | gcold : Respiratory Tract Diseases | gmed : Medical Conditions | gpir : Politics/International Relations | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ndj : Dow Jones Top Stories | redit : Selection of Top Stories/Trends/Analysis,usa : United States | namz : North America,FDL | USG | NND | USN,,"Dow Jones & Company, Inc.",Document J000000020210529eh5t0002j
